factor_name_fr,factor_name_en,federation
Produit à l'unité,Unit product,
Starting blocks acier (geC/pièce),Steel starting blocks (gCO2e/piece),
Starting blocks alu (geC/pièce),Aluminum starting blocks (gCO2e/piece),
Poids (geC/pièce),Shotput ball (gCO2e/piece),
Perche (geC/pièce),Vaulting pole (gCO2e/piece),
Javelot (geC/pièce),Javelin (gCO2e/piece),
Short (geC/pièce),Athletics shorts (gCO2e/piece),
Maillot (geC/pièce),Athletics tshirt (gCO2e/piece),ATHLETISME
Chaussures de 400g (geC/paire),Athletics shoes (gCO2e/pair),
Filet (geC/filet),Badminton net (gCO2e/net),
Volant (geC/pièce),Shuttlecock (gCO2e/piece),
Raquette (geC/pièce),Badminton racket (gCO2e/piece),BADMINTON
Ballon (geC/pièce),Basketball (gCO2e/piece),BASKET BALL
But de basket extérieur (kgeC/pièce),Outdoor basketball hoop (kgCO2e/piece),
But de basket intérieur fixe (kgeC/pièce),Fixed indoor basketball hoop (kgCO2e/piece),
But de basket intérieur relevable (kgeC/pièce),Retractable indoor basketball hoop (kgCO2e/piece),
But de basket intérieur mural (kgeC/pièce),Wall-mounted indoor basketball hoop (kgCO2e/piece),
Sifflet poire (geC/pièce),whistle (gCO2e/piece),
Kayak monoplace loisir (kgeC/pièce),Single-seater recreational kayak (kgCO2e/piece),
Canoë biplace (kgeC/pièce),Two-seater canoe (kgCO2e/piece),
Kayak monoplace slalom (kgeC/pièce),Single-seater slalom kayak (kgCO2e/piece),
Pagaie canoë (kgeC/pièce),Canoe paddle (kgCO2e/piece),
Pagaie kayak,Kayak paddle,
Vélo en aluminium (kgeC/pièce),Aluminum bicycle (kgCO2e/piece),
Vélo en fibre de carbone (kgeC/pièce),Carbon-fiber bicycle (kgCO2e/piece),
Casque (geC/pièce),Bicycle helmet (gCO2e/piece),
Bidon plastique (geC/pièce),Plastic water bottle (gCO2e/piece),
Bidon aluminium (geC/pièce),Aluminum water bottle (gCO2e/piece),
Bottes (kgeC/paire),Equestrian boots (kgCO2e/pair),
Pantalon (kgeC/pièce),Equestrian pants (kgCO2e/piece),
Veste (kgeC/pièce),Equestrian jacket (kgCO2e/piece),
Bombe (kgeC/pièce),Equestrian helmet (kgCO2e/piece),
Selle complète de 9kg (kgeC/pièce),Equestrian saddle (kgCO2e/piece),
Filet (bride et rênes (kgeC/pièce),Equestrian bridle and reins (kgCO2e/piece),
Cravache (kgeC/pièce),Horse-riding crop (kgCO2e/piece),
Fleuret (geC/pièce),Fencing sword - Foil (gCO2e/piece),
Sabre (geC/pièce),Fencing sword - Sabre (gCO2e/piece),
Épée (geC/pièce),Fencing sword - Épée (gCO2e/piece),
Veste (geC/pièce),Fencing jacket (gCO2e/piece),
Pantalon (geC/pièce),Fencing pants (gCO2e/piece),
Fil conducteur diamètre 1mm (geC/m),Conductive wire 1mm diameter (gCO2e/m),
"Fil conducteur diamètre 1,1mm (geC/m)",Conductive wire 1.1mm diameter (gCO2e/m),
Masque (geC/pièce),Fencing mask (gCO2e/piece),ESCRIME
Chaussettes (geC/paire),Socks (gCO2e/pair),
Chaussures crampons moulés (geC/paire),Football shoes (gCO2e/pair),
Ballon (geC/pièce),Football (gCO2e/piece),FOOTBALL
Maillot (geC/pièce),Football jersey (gCO2e/piece),FOOTBALL
Grip (geC/g),Grip (gCO2e/g),
Manche (geC/pièce),Golf shaft (gCO2e/piece),
Tête (geC/pièce),Golf clubhead (gCO2e/piece),
Club (geC/pièce),Golf club (gCO2e/piece),
Balle (geC/pièce),Golf ball (gCO2e/piece),
Barres assymétriques (kgeC/agrès),Uneven bars (kgCO2e/apparatus),
Barres parallèles (kgeC/agrès),Parallel bars (kgCO2e/apparatus),
Barres fixes (kgeC/agrès),High bars / Horizontal bars (kgCO2e/apparatus),
Chaussons (kgeC/paire),Gymnastics shoes (kgCO2e/pair),
Tapis 200x100 (kgeC/pièce),Gym mat 200x100 (kgCO2e/piece),
Ballon (geC/pièce),Handball (gCO2e/piece),HANDBALL
Maillot polyester (geC/pièce),Polyester jersey - handball (gCO2e/piece),HANDBALL
Maillot coton (geC/pièce),Cotton jersey - handball (gCO2e/piece),
Short polyester (geC/pièce),Polyester shorts - handball (gCO2e/piece),HANDBALL
Kimono adulte (kgeC/pièce),Kimono (kgCO2e/piece),
Pantalon adulte (kgeC/pièce),Adult pants (kgCO2e/piece),
Tatami 200x100 (kgeC/pièce),Tatami mat 200x100 (kgCO2e/piece),
Maillot femme (geC/pièce),Women's swimsuit (gCO2e/piece),
Lunettes (geC/paire),Swim goggles (gCO2e/pair),
Pince nez (geC/pièce),Nose clip (gCO2e/piece),
Masque (geC/pièce),Diving mask (gCO2e/piece),PLONGEE
Tuba (geC/pièce),Snorkelling tube (gCO2e/piece),
Bouteille 10L (geC/pièce),10L Scuba cylinder / tank (gCO2e/piece),
Bouteille 12L (geC/pièce),12L Scuba cylinder / tank (gCO2e/piece),
Bouteille 15L (geC/pièce),15L Scuba cylinder / tank (gCO2e/piece),
Chaussettes polypropylène (geC/pièce),Polypropylene socks (gCO2e/piece),
Crampons synthétiques moulés (geC/paire),Synthetic cleats (gCO2e/pair),
Crampons cuir moulés (geC/paire),Leather cleats (gCO2e/pair),
Crampons synthétiques vissés (geC/paire),Screw-in synthetic cleats (gCO2e/pair),
Ski partie centrale bois (geC/paire),Skis with wood core (gCO2e/pair),
Ski partie centrale polyuréthane (geC/paire),Skis with polyurethane core (gCO2e/pair),
Casque,Ski helmet,
Balle de tennis (geC/pièce),Tennis ball (gCO2e/piece),
Raquette (geC/pièce),Tennis racket (gCO2e/piece),TENNIS
Short polyester (geC/pièce),Polyester shorts - tennis (gCO2e/piece),TENNIS
Maillot polyester (geC/pièce),Polyester jersey - tennis (gCO2e/piece),TENNIS
Chaussure (geC/paire),Tennis shoes (gCO2e/pair),
Ballon cuir synthétique cousu machine (gec/pièce),Machine-stitched synthetic leather volleyball (gCO2e/piece),
Ballon cuir synthétique cousu main (geC/pièce),Hand-stitched synthetic leather volleyball (gCO2e/piece),
"Ballon cuir synthétique, soudé machine (geC/pièce)",Machine-bonded synthetic leather volleyball (gCO2e/piece),
"Ballon vrai cuir, soudé machine",Machine-bonded real leather volleyball,
Genouillères (geC/paire),Knee pads (gCO2e/pair),
Planche à voile BIC 293 avec gréement (keC/pièce),BIC 293 windsurf board with rig (kgCO2e/piece),
Ballon (geC/pièce),Rugby ball (gCO2e/piece),RUGBY
