category_old,category_new
"Fuels","Energy"
"Bioenergy","Energy"
"Passenger vehicles","Transport"
"Delivery vehicles","Transport"
"UK electricity","Energy"
"UK electricity for EVs","Transport"
"Heat and steam","Energy"
"WTT- fuels","Energy"
"WTT- bioenergy","Energy"
"Transmission and distribution","Energy"
"WTT- UK electricity","Energy"
"WTT- heat and steam","Energy"
"Water supply","Services"
"Material use","Materials"
"Waste disposal","Waste"
"Waste treatment","Waste"
"Business travel- air","Transport"
"WTT- business travel- air","Transport"
"Business travel- sea","Transport"
"WTT- business travel- sea","Transport"
"Business travel- land","Transport"
"WTT- pass vehs & travel- land","Transport"
"Freighting goods","Transport"
"WTT- delivery vehs & freight","Transport"
"Hotel stay","Services"
"Homeworking","Services"
"Water treatment","Services"
