sub_category_old,sub_category_new
"Cars (by market segment)","Cars"
"Cars (by size)","Cars"
"HGV (all diesel)","Heavy Goods Vehicles"
"HGVs refrigerated (all diesel)","Heavy Goods Vehicles - Refrigerated"
"Electricity generated","Electricity"
"WTT- UK electricity (generation)","WTT- Electricity"
"WTT- UK electricity (T&D)","WTT- Electricity (T&D)"
"T&D- UK electricity","Electricity T&D"
"Distribution - district heat & steam","T&D- District heat and steam"
"Construction","Contruction material"
"Organic","Organic material"
"Electrical items","Electrical items"
"WTT- cars (by market segment)","WTT- Cars"
"WTT- cars (by size)","WTT- Cars"
"WTT- motorbike","WTT- Motorbike"
"WTT- taxis","WTT- Taxis"
"WTT- bus","WTT- Bus"
"WTT- rail","WTT- Rail"
"WTT- vans","WTT- Vans"
"WTT- HGV (all diesel)","WTT- Heavy Goods Vehicles"
"WTT- HGV refrigerated (all diesel)","WTT- Heavy Goods Vehicles - Refrigerated"
"WTT- freight flights","WTT- Freight Flights"
"WTT- sea tanker","WTT- Sea Tanker"
"WTT- cargo ship","WTT- Cargo Ship"
"Homeworking (office equipment + heating)","Homeworking"
"Office Equipment","Homeworking"
"Heating","Homeworking"
